"Số đơn vị hành chính có đến phân theo địa phương chia theo Phân theo địa phương, Năm và Đơn vị hành chính"

" ";"2009";" ";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";"2016";" ";" ";" ";" ";" ";" ";"2017";" ";" ";" ";" ";" ";" "
" ";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã"
"Tuyên Quang";..;..;1;5;7;5;129;1;..;..;5;7;5;129;1;..;..;6;7;5;129;1;..;..;6;7;5;129;1;..;..;6;7;5;129;1;..;..;6;7;5;129;1;..;..;6;7;5;129;1;..;..;6;7;5;129;1;..;..;6;7;5;129
"Lào Cai";1;..;..;8;12;8;144;1;..;..;8;12;9;143;1;..;..;8;12;9;143;1;..;..;8;12;9;143;1;..;..;8;12;9;143;1;..;..;8;12;9;143;1;..;..;8;12;9;143;1;..;..;8;12;9;143;1;..;..;8;12;9;143
"Yên Bái";1;..;1;7;11;10;159;1;..;1;7;11;10;159;1;..;1;7;11;10;159;1;..;1;7;11;10;159;1;..;1;7;13;10;157;1;..;1;7;13;10;157;1;..;1;7;13;10;157;1;..;1;7;13;10;157;1;..;1;7;13;10;157
"Thái  Nguyên";1;..;1;7;23;13;144;1;..;1;7;23;13;144;..;..;1;6;25;13;143;1;..;1;7;25;13;143;1;..;1;7;25;13;142;1;..;1;7;25;13;142;2;..;1;6;30;10;140;2;..;1;6;30;10;140;2;..;1;6;32;9;139
"Lạng Sơn";1;..;..;10;5;14;207;1;..;..;10;5;14;207;1;..;..;10;5;14;207;1;..;..;10;5;14;207;1;..;..;10;5;14;207;1;..;..;10;5;14;207;1;..;..;10;5;14;207;1;..;..;10;5;14;207;1;..;..;10;5;14;207
"Bắc Giang";1;..;..;9;7;16;207;1;..;..;9;7;16;207;1;..;1;7;7;16;207;1;..;..;9;7;16;207;1;..;..;9;10;16;204;1;..;..;9;10;16;204;1;..;..;9;10;16;204;1;..;..;9;10;16;204;1;..;..;9;10;16;204
"Phú Thọ";1;..;1;11;14;10;253;1;..;1;11;17;11;249;1;..;..;10;17;11;249;1;..;1;11;17;11;249;1;..;1;11;18;11;248;1;..;1;11;18;11;248;1;..;1;11;18;11;248;1;..;1;11;18;11;248;1;..;1;11;18;11;248
"Điện Biên";1;..;1;7;9;5;98;1;..;1;7;9;5;98;1;..;1;7;9;5;98;1;..;1;8;9;5;116;1;..;1;8;9;5;116;1;..;1;8;9;5;116;1;..;1;8;9;5;116;1;..;1;8;9;5;116;1;..;1;8;9;5;116
"Lai Châu";..;..;1;6;3;6;89;..;..;1;6;3;6;89;1;..;..;10;3;7;93;..;..;1;7;5;7;96;1;..;..;7;5;7;96;1;..;..;7;5;7;96;1;..;..;7;5;7;96;1;..;..;7;5;7;96;1;..;..;7;5;7;96
"Sơn La";1;..;..;10;6;9;191;1;..;..;10;7;9;190;1;..;..;9;7;9;188;1;..;..;10;7;9;188;1;..;..;11;7;9;188;1;..;..;11;7;9;188;1;..;..;11;7;9;188;1;..;..;11;7;9;188;1;..;..;11;7;9;188
"Hoà Bình";1;..;..;10;8;11;191;1;..;..;10;8;11;191;1;..;1;11;8;11;191;1;..;..;10;8;11;191;1;..;..;10;8;11;191;1;..;..;10;8;11;191;1;..;..;10;8;11;191;1;..;..;10;8;11;191;1;..;..;10;8;11;191
"Bắc Trung Bộ và duyên hải miền Trung";14;6;9;142;274;151;2489;15;6;10;140;291;149;2474;15;6;12;138;303;148;2467;15;6;12;138;305;146;2467;15;6;14;138;323;146;2449;15;6;14;138;323;146;2449;15;6;16;137;336;144;2436;15;6;16;137;336;144;2436;16;6;15;137;340;144;2432
"Thanh Hoá";1;..;2;24;22;30;585;1;..;2;24;22;30;585;1;..;2;24;22;30;585;1;..;2;24;24;28;585;1;..;2;24;30;28;579;1;..;2;24;30;28;579;1;..;2;24;30;28;577;1;..;2;24;30;28;577;2;..;1;24;34;28;573
"Nghệ An";1;..;2;17;25;17;437;1;..;2;17;27;17;435;1;..;2;17;27;18;435;1;..;2;17;27;18;435;1;..;3;17;32;17;431;1;..;3;17;32;17;431;1;..;3;17;32;17;431;1;..;3;17;32;17;431;1;..;3;17;32;17;431
"Hà Tĩnh";1;..;1;10;15;12;235;1;..;1;10;15;12;235;1;..;1;10;15;12;235;1;..;1;10;15;12;235;1;..;1;10;15;12;235;1;..;1;10;15;12;235;1;..;2;10;21;11;230;1;..;2;10;21;11;230;1;..;2;10;21;11;230
"Quảng Bình";1;..;..;6;10;8;141;1;..;..;6;10;8;141;1;..;..;6;10;8;141;1;..;..;6;10;8;141;1;..;1;6;16;7;136;1;..;1;6;16;7;136;1;..;1;6;16;7;136;1;..;1;6;16;7;136;1;..;1;6;16;7;136
"Quảng Trị";1;..;1;8;13;11;117;1;..;1;8;13;11;117;1;..;1;8;13;11;117;1;..;1;8;13;11;117;1;..;1;8;13;11;117;1;..;1;8;13;11;117;1;..;1;8;13;11;117;1;..;1;8;13;11;117;1;..;1;8;13;11;117
"Thừa Thiên - Huế";1;..;..;8;24;9;119;1;..;1;7;32;8;112;1;..;2;6;39;8;105;1;..;2;6;39;8;105;1;..;2;6;39;8;105;1;..;2;6;39;8;105;1;..;2;6;39;8;105;1;..;2;6;39;8;105;1;..;2;6;39;8;105
"Đà Nẵng";..;6;..;2;45;..;11;..;6;..;2;45;..;11;..;6;..;2;45;..;11;..;6;..;2;45;..;11;..;6;..;2;45;..;11;..;6;..;2;45;..;11;..;6;..;2;45;..;11;..;6;..;2;45;..;11;..;6;..;2;45;..;11
"Quảng Nam";2;..;..;16;18;13;210;2;..;..;16;18;13;210;2;..;..;16;18;13;213;2;..;..;16;18;13;213;2;..;..;16;18;13;213;2;..;..;16;18;13;213;2;..;1;15;25;12;207;2;..;1;15;25;12;207;2;..;1;15;25;12;207
"Quảng Ngãi";1;..;..;13;8;10;166;1;..;..;13;8;10;166;1;..;..;13;8;10;166;1;..;..;13;8;10;166;1;..;..;13;9;9;166;1;..;..;13;9;9;166;1;..;..;13;9;9;166;1;..;..;13;9;9;166;1;..;..;13;9;9;166
"Bình Định";1;..;..;10;16;14;129;1;..;..;10;16;14;129;1;..;1;9;21;12;126;1;..;1;9;21;12;126;1;..;1;9;21;12;126;1;..;1;9;21;12;126;1;..;1;9;21;12;126;1;..;1;9;21;12;126;1;..;1;9;21;12;126
"Phú Yên";1;..;1;7;16;5;91;1;..;1;7;16;5;91;1;..;1;7;16;5;91;1;..;1;7;16;5;91;1;..;1;7;16;8;88;1;..;1;7;16;8;88;1;..;1;7;16;8;88;1;..;1;7;16;8;88;1;..;1;7;16;8;88
"Khánh Hoà";1;..;1;7;28;7;105;2;..;1;6;35;6;99;2;..;1;6;35;6;99;2;..;1;6;35;6;99;2;..;1;6;35;6;99;2;..;1;6;35;6;99;2;..;1;6;35;6;99;2;..;1;6;35;6;99;2;..;1;6;35;6;99
"Ninh Thuận";1;..;..;6;15;3;47;1;..;..;6;15;3;47;1;..;..;6;15;3;47;1;..;..;6;15;3;47;1;..;..;6;15;3;47;1;..;..;6;15;3;47;1;..;..;6;15;3;47;1;..;..;6;15;3;47;1;..;..;6;15;3;47
"Bình Thuận";1;..;1;8;19;12;96;1;..;1;8;19;12;96;1;..;1;8;19;12;96;1;..;1;8;19;12;96;1;..;1;8;19;12;96;1;..;1;8;19;12;96;1;..;1;8;19;12;96;1;..;1;8;19;12;96;1;..;1;8;19;12;96
"Tây Nguyên";4;..;5;52;77;47;598;5;..;4;52;77;47;598;5;..;4;52;77;47;598;5;..;4;52;77;47;598;5;..;4;52;77;49;600;5;..;4;52;77;49;600;5;..;4;53;77;49;600;5;..;4;53;77;49;600;5;..;4;53;77;49;600
"Kon Tum";1;..;..;8;10;6;81;1;..;..;8;10;6;81;1;..;..;8;10;6;81;1;..;..;8;10;6;81;1;..;..;8;10;6;86;1;..;..;8;10;6;86;1;..;..;9;10;6;86;1;..;..;9;10;6;86;1;..;..;9;10;6;86
"Gia Lai";1;..;2;14;24;12;186;1;..;2;14;24;12;186;1;..;2;14;24;12;186;1;..;2;14;24;12;186;1;..;2;14;24;14;184;1;..;2;14;24;14;184;1;..;2;14;24;14;184;1;..;2;14;24;14;184;1;..;2;14;24;14;184
"Đắk Lắk";1;..;1;13;20;12;152;1;..;1;13;20;12;152;1;..;1;13;20;12;152;1;..;1;13;20;12;152;1;..;1;13;20;12;152;1;..;1;13;20;12;152;1;..;1;13;20;12;152;1;..;1;13;20;12;152;1;..;1;13;20;12;152
"Đắk Nông";..;..;1;7;5;5;61;..;..;1;7;5;5;61;..;..;1;7;5;5;61;..;..;1;7;5;5;61;..;..;1;7;5;5;61;..;..;1;7;5;5;61;..;..;1;7;5;5;61;..;..;1;7;5;5;61;..;..;1;7;5;5;61
"Lâm Đồng";1;..;1;10;18;12;118;2;..;..;10;18;12;118;2;..;..;10;18;12;118;2;..;..;10;18;12;118;2;..;..;10;18;12;117;2;..;..;10;18;12;117;2;..;..;10;18;12;117;2;..;..;10;18;12;117;2;..;..;10;18;12;117
"Đông Nam Bộ";2;19;7;41;342;40;490;2;19;7;41;342;40;490;2;19;9;39;356;37;479;4;19;7;39;356;37;479;5;19;8;39;374;33;465;5;19;8;39;374;33;465;5;19;8;40;374;33;465;5;19;8;40;374;33;465;5;19;8;40;374;33;465
"Bình Phước";..;..;3;7;14;5;92;..;..;3;7;14;5;92;..;..;3;7;14;5;92;..;..;3;7;14;5;92;..;..;3;7;14;5;92;..;..;3;7;14;5;92;..;..;3;8;14;5;92;..;..;3;8;14;5;92;..;..;3;8;14;5;92
"Tây Ninh";..;..;1;8;5;8;82;..;..;1;8;5;8;82;..;..;1;8;5;8;82;..;..;1;8;5;8;82;1;..;..;8;7;8;80;1;..;..;8;7;8;80;1;..;..;8;7;8;80;1;..;..;8;7;8;80;1;..;..;8;7;8;80
"Bình Dương";..;..;1;6;11;9;71;..;..;1;6;11;9;71;..;..;3;4;25;6;60;1;..;2;4;25;6;60;1;..;4;4;41;2;48;1;..;4;4;41;2;48;1;..;4;4;41;2;48;1;..;4;4;41;2;48;1;..;4;4;41;2;48
"Đồng Nai";1;..;1;9;29;6;136;1;..;1;9;29;6;136;1;..;1;9;29;6;136;1;..;1;9;29;6;136;1;..;1;9;29;6;136;1;..;1;9;29;6;136;1;..;1;9;29;6;136;1;..;1;9;29;6;136;1;..;1;9;29;6;136
"Bà Rịa - Vũng Tàu";1;..;1;6;24;7;51;1;..;1;6;24;7;51;1;..;1;6;24;7;51;2;..;..;6;24;7;51;2;..;..;6;24;7;51;2;..;..;6;24;7;51;2;..;..;6;24;7;51;2;..;..;6;24;7;51;2;..;..;6;24;7;51
"TP. Hồ Chí Minh";..;19;..;5;259;5;58;..;19;..;5;259;5;58;..;19;..;5;259;5;58;..;19;..;5;259;5;58;..;19;..;5;259;5;58;..;19;..;5;259;5;58;..;19;..;5;259;5;58;..;19;..;5;259;5;58;..;19;..;5;259;5;58
"Đồng bằng sông Cửu Long";9;5;10;106;182;124;1306;12;5;7;106;182;125;1304;12;5;8;105;186;128;1299;12;5;9;104;189;127;1299;14;5;10;103;202;125;1294;14;5;10;103;202;125;1294;14;5;13;102;211;120;1293;14;5;13;102;211;120;1293;14;5;13;102;211;120;1293
"Long An";1;..;..;13;9;15;166;1;..;..;13;9;15;166;1;..;..;13;9;15;166;1;..;..;13;9;15;166;1;..;1;13;12;14;166;1;..;1;13;12;14;166;1;..;1;13;12;14;166;1;..;1;13;12;14;166;1;..;1;13;12;14;166
"Tiền Giang";1;..;1;8;16;7;146;1;..;1;8;16;8;145;1;..;1;8;16;8;145;1;..;1;8;16;8;145;1;..;2;8;22;7;144;1;..;2;8;22;7;144;1;..;2;8;22;7;144;1;..;2;8;22;7;144;1;..;2;8;22;7;144
"Bến Tre";1;..;..;8;10;7;147;1;..;..;8;10;7;147;1;..;..;8;10;7;147;1;..;..;8;10;7;147;1;..;..;8;10;7;147;1;..;..;8;10;7;147;1;..;..;8;10;7;147;1;..;..;8;10;7;147;1;..;..;8;10;7;147
"Trà Vinh";..;..;1;7;9;10;85;1;..;..;7;9;10;85;1;..;..;7;9;11;85;1;..;..;7;9;11;85;1;..;..;7;9;11;85;1;..;..;7;9;11;85;1;..;1;7;11;10;85;1;..;1;7;11;10;85;1;..;1;7;11;10;85
"Vĩnh Long";1;..;..;7;7;6;94;1;..;..;7;7;6;94;1;..;..;7;7;6;94;1;..;1;6;10;5;94;1;..;1;6;10;5;94;1;..;1;6;10;5;94;1;..;1;6;10;5;94;1;..;1;6;10;5;94;1;..;1;6;10;5;94
"Đồng Tháp";1;..;2;9;17;8;119;1;..;2;9;17;8;119;1;..;2;9;17;8;119;1;..;2;9;17;8;119;2;..;1;9;17;8;119;2;..;1;9;17;8;119;2;..;1;9;17;8;119;2;..;1;9;17;8;119;2;..;1;9;17;8;119
"An Giang";1;..;2;8;20;16;120;1;..;2;8;20;16;120;1;..;2;8;20;16;120;1;..;2;8;20;16;120;2;..;1;8;21;16;119;2;..;1;8;21;16;119;2;..;1;8;21;16;119;2;..;1;8;21;16;119;2;..;1;8;21;16;119
"Kiên Giang";1;..;1;13;15;12;118;1;..;1;13;15;12;118;1;..;1;13;15;12;118;1;..;1;13;15;12;118;1;..;1;13;15;12;118;1;..;1;13;15;12;118;1;..;1;13;15;12;118;1;..;1;13;15;12;118;1;..;1;13;15;12;118
"Cần Thơ";..;5;..;4;44;5;36;..;5;..;4;44;5;36;..;5;..;4;44;5;36;..;5;..;4;44;5;36;..;5;..;4;44;5;36;..;5;..;4;44;5;36;..;5;..;4;44;5;36;..;5;..;4;44;5;36;..;5;..;4;44;5;36
"Hậu Giang";..;..;2;5;8;10;56;1;..;1;5;8;10;55;1;..;1;5;8;12;54;1;..;1;5;8;12;54;1;..;1;5;8;12;54;1;..;1;5;8;12;54;1;..;2;5;12;10;54;1;..;2;5;12;10;54;1;..;2;5;12;10;54
"Sóc Trăng";1;..;..;10;10;12;87;1;..;..;10;10;12;87;1;..;1;9;14;12;83;1;..;1;9;14;12;83;1;..;2;8;17;12;80;1;..;2;8;17;12;80;1;..;2;8;17;12;80;1;..;2;8;17;12;80;1;..;2;8;17;12;80
"Bạc Liêu";..;..;1;6;7;7;50;1;..;..;6;7;7;50;1;..;..;6;7;7;50;1;..;..;6;7;7;50;1;..;..;6;7;7;50;1;..;..;6;7;7;50;1;..;1;5;10;5;49;1;..;1;5;10;5;49;1;..;1;5;10;5;49
"Cà Mau";1;..;..;8;10;9;82;1;..;..;8;10;9;82;1;..;..;8;10;9;82;1;..;..;8;10;9;82;1;..;..;8;10;9;82;1;..;..;8;10;9;82;1;..;..;8;10;9;82;1;..;..;8;10;9;82;1;..;..;8;10;9;82

