"Lượng mưa các tháng trong năm tại một số trạm quan trắc chia theo Năm, Tỉnh, thành phố và Tháng"

" ";" ";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
" ";"Tuyên Quang";65.5;14.1;68.3;80.3;302.3;227.4;297.3;240.9;303.4;52.9;424.1;97.2
" ";"Hà Nội";25.6;12.5;59.4;21.6;74.2;241.1;96.8;354.2;345.4;99.7;158.0;31.5
" ";"Bãi Cháy";36.1;35.6;23.1;26.8;187.2;255.9;900.5;399.6;277.7;120.0;41.2;63.9
" ";"Nam Định";23.7;53.7;61.3;18.6;88.2;146.0;113.8;271.6;348.6;81.0;100.7;42.5
" ";"Vinh";60.9;49.2;73.5;60.0;119.7;121.0;90.1;50.0;368.1;159.6;219.0;93.1
" ";"Huế";71.1;64.2;180.5;151.7;40.5;33.8;69.0;51.7;246.6;457.6;526.6;313.0
" ";"Đà Nẵng";24.2;12.0;179.3;89.7;34.6;24.8;36.8;190.9;416.0;356.1;328.2;179.8
" ";"Qui Nhơn";63.5;16.9;67.7;36.2;4.5;17.7;51.8;85.2;77.7;140.5;540.5;249.2
" ";"Pleiku";..;0.1;0.4;12.5;140.1;371.4;417.8;229.4;277.4;148.0;36.9;0.1
" ";"Đà Lạt";0.1;28.1;5.3;157.0;282.2;259.6;285.1;225.2;252.9;334.1;72.2;49.6
" ";"Nha Trang";26.3;1.4;8.1;28.6;39.4;22.4;22.9;1.4;49.0;210.8;794.0;246.2
" ";"Vũng Tàu";2.5;..;..;13.8;100.3;253.5;302.1;194.6;161.5;241.3;5.1;4.8
" ";"Cà Mau";43.6;..;..;6.4;131.6;466.6;200.7;250.6;645.3;231.4;272.4;48.6
"2014"
" ";"Lai Châu";3.7;16.7;81.6;214.4;243.8;442.2;467.1;398.1;180.8;120.2;97.2;1.4
" ";"Sơn La";1.4;21.4;36.5;75.1;129.6;252.1;299.8;311.5;114.6;29.0;143.6;..
" ";"Tuyên Quang";3.8;35.7;53.3;134.6;110.9;149.0;173.4;406.0;172.7;163.0;88.9;7.9
" ";"Hà Nội";0.7;16.1;68.6;170.4;106.1;221.7;357.3;314.7;237.3;119.4;36.5;11.8
" ";"Bãi Cháy";1.0;21.9;58.8;148.1;36.9;296.4;515.0;435.4;299.0;33.2;43.9;32.4
" ";"Nam Định";1.7;22.4;85.9;142.8;168.5;218.5;274.4;246.4;288.3;185.5;66.5;20.5
" ";"Vinh";5.5;46.9;30.9;15.9;19.2;272.7;110.7;168.5;194.6;472.9;63.6;65.1
" ";"Huế";76.3;28.6;16.9;5.3;79.5;6.7;224.7;135.6;44.9;694.6;225.0;771.4
" ";"Đà Nẵng";86.6;..;3.9;63.2;5.5;82.4;183.6;180.8;111.5;819.4;288.1;399.1
" ";"Qui Nhơn";19.6;1.7;9.8;26.7;13.4;1.2;37.0;108.4;244.1;480.9;286.1;399.0
" ";"Pleiku";..;..;19.2;311.2;255.6;333.9;386.6;521.5;329.0;255.3;34.0;11.4
" ";"Đà Lạt";5.9;1.1;26.4;338.5;325.6;184.2;269.8;284.5;341.5;256.2;14.5;30.8
" ";"Nha Trang";2.1;0.3;7.7;5.1;36.1;7.5;98.2;130.8;52.9;157.0;196.9;277.6
" ";"Vũng Tàu";..;..;..;39.2;70.0;320.4;352.3;141.9;194.3;208.3;11.4;39.6
" ";"Cà Mau";8.3;..;..;61.2;153.6;190.3;388.6;341.7;273.3;254.4;291.3;103.0
"2013"
" ";"Lai Châu";55.7;41.2;23.9;312.9;381.0;478.7;470.1;458.9;171.2;44.6;19.1;199.3
" ";"Sơn La";42.9;13.6;33.4;89.2;183.9;201.4;369.4;353.6;120.4;22.4;0.5;109.3
" ";"Tuyên Quang";25.4;35.5;25.5;82.5;165.8;194.0;364.2;376.6;195.9;95.8;13.9;73.6
" ";"Hà Nội";13.8;17.7;46.1;23.3;242.5;216.7;305.9;541.4;374.3;61.2;69.6;22.2
" ";"Bãi Cháy";35.9;9.9;119.4;67.1;220.1;368.2;769.6;509.0;379.1;18.6;196.8;30.4
" ";"Nam Định";16.3;28.5;24.0;38.7;140.9;151.7;423.8;332.7;378.6;115.8;91.3;15.0
" ";"Vinh";36.0;35.1;27.0;70.5;82.6;328.4;175.4;152.6;831.7;526.2;164.9;68.9
" ";"Huế";47.3;27.2;64.1;25.4;43.4;96.0;117.9;39.3;569.0;517.1;1089.0;90.0
" ";"Đà Nẵng";17.8;44.5;44.6;14.2;43.3;25.2;131.5;80.7;750.8;369.4;760.3;34.4
" ";"Qui Nhơn";118.6;70.0;22.1;38.9;255.6;40.7;207.9;100.5;182.6;428.5;426.5;13.0
" ";"Pleiku";0.2;0.1;3.5;122.5;118.4;239.2;328.8;453.7;533.7;325.4;116.6;1.7
" ";"Đà Lạt";5.0;1.3;126.6;147.8;268.6;356.1;194.2;139.2;389.7;129.5;175.2;2.2
" ";"Nha Trang";63.6;34.6;15.2;42.3;5.6;148.8;75.1;92.5;248.9;162.1;466.0;10.7
" ";"Vũng Tàu";7.1;0.9;..;104.0;98.9;192.1;229.9;270.4;220.7;113.7;110.0;18.9
" ";"Cà Mau";36.9;8.1;..;104.3;196.0;291.6;258.4;288.3;233.0;265.1;230.5;29.1
"2012"
" ";"Lai Châu";99.7;5.5;31.9;142.9;282.9;481.8;668.3;165.8;323.0;243.2;146.5;27.2
" ";"Sơn La";90.5;6.0;48.7;114.0;180.6;122.3;299.9;344.9;153.3;48.7;44.9;26.2
" ";"Tuyên Quang";51.1;18.7;36.6;104.7;256.5;162.5;687.2;367.8;184.9;27.1;73.0;25.2
" ";"Hà Nội";20.3;16.5;16.9;31.8;387.7;268.9;388.3;478.1;54.7;77.5;34.8;25.7
" ";"Bãi Cháy";41.7;15.0;34.0;98.2;434.9;121.9;425.9;348.0;162.7;397.8;58.0;3.9
" ";"Nam Định";40.7;22.7;22.9;102.4;177.0;208.5;263.5;328.4;320.2;173.7;77.5;35.3
" ";"Vinh";57.9;30.7;37.5;19.0;289.2;125.1;84.9;140.4;721.5;60.7;230.0;95.6
" ";"Huế";155.9;76.1;17.4;51.1;216.1;20.4;25.4;168.9;436.1;409.2;489.1;304.3
" ";"Đà Nẵng";56.8;37.4;0.0;21.3;10.9;46.1;32.0;180.5;581.7;367.5;302.4;59.5
" ";"Qui Nhơn";104.4;40.1;17.4;170.8;9.7;51.2;114.2;103.2;378.4;177.3;229.2;87.1
" ";"Pleiku";6.2;15.5;5.7;91.1;173.0;526.1;454.2;392.4;397.9;126.3;19.1;..
" ";"Đà Lạt";19.2;88.7;49.0;280.6;314.8;127.1;215.3;129.4;406.0;155.7;68.9;4.8
" ";"Nha Trang";98.8;28.3;118.7;148.8;92.4;24.3;151.1;29.6;444.6;140.2;370.3;34.6
" ";"Vũng Tàu";0.2;35.9;31.6;261.8;70.7;141.3;198.0;156.7;189.8;97.7;11.1;20.8
" ";"Cà Mau";7.3;24.4;233.7;136.7;249.7;166.3;288.5;218.4;533.3;192.4;91.4;11.8
"2011"
" ";"Lai Châu";21.0;..;115.0;163.7;356.0;459.1;305.9;216.0;228.6;120.6;30.2;1.6
" ";"Sơn La";11.1;13.3;108.5;106.5;136.3;190.9;215.4;167.8;88.8;47.0;5.7;2.1
" ";"Tuyên Quang";12.9;12.1;116.5;58.4;234.9;181.5;209.1;229.2;266.5;87.7;35.0;5.7
" ";"Hà Nội";9.3;17.5;105.8;42.0;149.0;395.5;254.4;313.2;247.6;177.6;31.8;51.5
" ";"Bãi Cháy";2.7;14.8;60.4;35.7;199.1;289.2;318.6;356.2;389.3;117.6;10.7;29.5
" ";"Nam Định";5.5;13.4;83.2;38.0;180.9;212.6;288.4;284.9;477.7;147.4;22.1;13.1
" ";"Vinh";47.0;22.6;56.8;29.1;113.9;93.2;378.0;40.3;741.4;341.1;343.8;51.4
" ";"Huế";361.2;14.3;167.4;72.9;148.9;88.1;16.0;59.3;741.5;1259.5;842.4;709.5
" ";"Đà Nẵng";160.6;..;31.2;8.0;35.0;100.5;12.8;139.1;812.1;791.3;1218.0;339.2
" ";"Qui Nhơn";24.0;10.7;71.0;5.0;64.5;14.8;84.8;36.6;266.1;448.2;359.1;140.1
" ";"Pleiku";..;6.6;17.6;33.6;412.8;433.7;372.9;381.3;434.0;427.2;47.5;..
" ";"Đà Lạt";1.0;0.2;57.9;99.5;258.3;279.6;270.0;262.0;134.1;210.7;51.6;25.1
" ";"Nha Trang";22.1;..;75.9;4.5;187.8;17.0;110.3;132.0;163.2;354.9;144.5;115.4
" ";"Vũng Tàu";1.2;..;1.5;80.1;193.0;120.8;258.4;144.3;234.2;143.2;171.5;34.7
" ";"Cà Mau";19.0;..;87.2;91.0;241.5;369.8;298.1;236.8;593.8;187.4;242.9;78.4
"2010"
" ";"Lai Châu";14.6;17.8;52.5;130.2;339.1;336.5;309.9;179.2;344.4;90.9;14.1;28.6
" ";"Sơn La";79.1;18.0;68.9;150.8;140.7;98.1;174.0;190.6;178.7;19.0;1.5;90.4
" ";"Tuyên Quang";4.9;13.9;24.6;152.7;308.1;202.0;233.9;165.8;137.3;32.1;7.7;1.3
" ";"Hà Nội";80.9;8.1;5.8;55.6;149.7;175.4;280.4;274.4;171.8;24.9;0.6;11.6
" ";"Bãi Cháy";140.9;10.2;5.2;125.3;196.8;342.7;174.5;537.5;282.5;10.1;1.0;15.3
" ";"Nam Định";113.8;7.5;8.6;42.3;189.9;122.5;311.5;428.2;174.1;56.2;0.0;6.8
" ";"Vinh";61.3;28.7;11.7;78.6;26.3;70.6;110.2;866.2;94.4;1290.3;43.5;34.7
" ";"Huế";95.9;12.7;42.1;7.8;67.7;119.3;66.0;510.4;85.2;1012.6;764.9;69.4
" ";"Đà Nẵng";87.9;0.0;10.3;4.7;62.1;76.1;245.2;326.3;166.1;656.3;549.2;52.6
" ";"Qui Nhơn";110.4;0.0;6.4;9.1;54.9;54.2;125.9;140.3;105.6;539.6;1511.2;27.3
" ";"Pleiku";0.3;5.0;9.6;144.4;266.0;128.5;652.4;566.5;645.3;217.9;89.3;0.2
" ";"Đà Lạt";3.1;70.5;135.1;248.7;166.7;162.9;219.5;199.7;298.7;265.7;77.6;0.9
" ";"Nha Trang";98.9;0.9;25.9;106.7;53.1;9.9;59.9;62.5;132.6;968.1;942.0;197.4
" ";"Vũng Tàu";..;8.0;1.6;70.2;277.7;96.7;203.3;71.7;165.9;244.7;22.7;0.2
" ";"Cà Mau";22.7;101.3;2.2;201.4;342.4;169.3;413.5;210.1;488.3;208.0;65.6;19.6
"2009"
" ";"Lai Châu";0.7;8.4;43.9;212.2;416.5;254.5;555.2;256.5;156.8;57.7;13.0;0.5
" ";"Sơn La";0.0;0.1;41.0;114.7;111.2;153.0;228.5;231.7;98.8;17.1;0.4;5.9
" ";"Tuyên Quang";4.9;13.9;24.6;152.7;308.1;202.0;233.9;165.8;137.3;32.1;7.7;1.3
" ";"Hà Nội";4.9;8.0;49.1;74.3;229.0;242.4;550.5;215.7;154.6;78.8;1.2;3.6
" ";"Bãi Cháy";0.8;20.2;55.6;133.6;223.6;213.1;320.6;177.3;296.7;120.4;1.7;3.7
" ";"Nam Định";4.9;3.0;114.8;214.4;249.2;180.6;325.6;146.7;316.9;65.9;5.5;16.1
" ";"Vinh";37.2;19.6;92.4;84.7;123.3;3.5;108.5;339.9;373.8;108.6;61.1;56.6
" ";"Huế";257.0;24.1;86.8;149.0;220.3;106.0;78.5;99.0;1288.6;833.8;331.5;334.5
" ";"Đà Nẵng";159.5;23.3;23.0;179.9;65.3;36.2;186.5;152.8;1375.7;455.8;194.4;165.4
" ";"Qui Nhơn";77.7;31.1;28.4;184.3;338.7;48.4;57.4;54.3;362.9;566.2;475.1;49.1
" ";"Pleiku";0.3;5.0;9.6;144.4;266.0;128.5;652.4;566.5;645.3;217.9;89.3;0.2
" ";"Đà Lạt";3.1;70.5;135.1;248.7;166.7;162.9;219.5;199.7;298.7;265.7;77.6;0.9
" ";"Nha Trang";35.4;21.8;50.3;203.1;214.2;46.8;35.3;40.9;207.8;168.2;326.2;42.5
" ";"Vũng Tàu";0.0;8.0;1.6;70.2;277.7;96.7;203.3;71.7;165.9;244.7;22.7;0.2
" ";"Cà Mau";22.7;101.3;2.2;201.4;342.4;169.3;413.5;210.1;488.3;208.0;65.6;19.6
"2008"
" ";"Lai Châu";46.0;76.0;91.0;142.0;262.0;628.0;639.0;366.0;122.0;72.0;180.0;4.0
" ";"Sơn La";24.0;65.0;32.0;72.0;133.0;337.0;410.0;246.0;449.0;167.0;136.0;12.0
" ";"Tuyên Quang";20.0;44.0;78.0;101.0;164.0;132.0;210.0;362.0;263.0;183.0;158.0;6.0
" ";"Hà Nội";27.0;14.0;20.0;122.0;184.0;234.0;424.0;305.0;199.0;469.0;259.0;11.0
" ";"Bãi Cháy";79.0;26.0;73.0;39.0;189.0;380.0;206.0;558.0;332.0;20.0;44.0;25.0
" ";"Nam Định";61.0;21.0;31.0;38.0;165.0;220.0;214.0;338.0;245.0;241.0;204.0;22.0
" ";"Vinh";83.0;33.0;33.0;33.0;74.0;42.0;53.0;165.0;431.0;1038.0;76.0;59.0
" ";"Huế";118.0;85.0;80.0;74.0;195.0;24.0;26.0;64.0;479.0;1524.0;671.0;510.0
" ";"Đà Nẵng";83.0;34.0;54.0;67.0;158.0;36.0;48.0;57.0;230.0;1007.0;569.0;185.0
" ";"Qui Nhơn";258.0;26.0;35.0;23.0;80.0;23.0;27.0;76.0;425.0;520.0;593.0;251.0
" ";"Pleiku";3.0;1.0;3.0;119.0;333.0;69.0;187.0;414.0;289.0;140.0;83.0;4.0
" ";"Đà Lạt";27.0;35.0;68.0;119.0;220.0;60.0;201.0;211.0;204.0;205.0;175.0;52.0
" ";"Nha Trang";138.0;41.0;35.0;136.0;95.0;18.0;31.0;80.0;308.0;275.0;734.0;410.0
" ";"Vũng Tàu";4.0;1.0;..;45.0;199.0;285.0;202.0;203.0;134.0;195.0;122.0;0.0
" ";"Cà Mau";113.0;8.0;..;94.0;272.0;381.0;332.0;260.0;429.0;348.0;270.0;172.0
"2007"
" ";"Lai Châu";4.0;27.0;11.0;139.0;491.0;479.0;780.0;304.0;188.0;4.0;49.0;0.0
" ";"Sơn La";4.0;17.0;9.0;166.0;267.0;176.0;290.0;174.0;169.0;69.0;11.0;1.0
" ";"Tuyên Quang";2.0;32.0;17.0;120.0;288.0;163.0;231.0;175.0;208.0;20.0;14.0;24.0
" ";"Hà Nội";3.0;25.0;29.0;98.0;118.0;211.0;286.0;330.0;388.0;145.0;5.0;21.0
" ";"Bãi Cháy";4.0;21.0;31.0;44.0;100.0;297.0;410.0;129.0;268.0;80.0;41.0;7.0
" ";"Nam Định";6.0;45.0;32.0;43.0;175.0;60.0;217.0;162.0;179.0;125.0;10.0;33.0
" ";"Vinh";33.0;35.0;142.0;76.0;204.0;9.0;44.0;637.0;119.0;495.0;45.0;123.0
" ";"Huế";255.0;3.0;100.0;180.0;153.0;17.0;63.0;261.0;307.0;1544.0;907.0;603.0
" ";"Đà Nẵng";153.0;0.0;58.0;55.0;156.0;7.0;24.0;152.0;253.0;1147.0;894.0;164.0
" ";"Qui Nhơn";68.0;1.0;93.0;23.0;78.0;28.0;5.0;311.0;135.0;673.0;808.0;18.0
" ";"Pleiku";0.0;0.0;31.0;49.0;306.0;209.0;444.0;522.0;258.0;327.0;168.0;0.0
" ";"Đà Lạt";0.0;0.0;98.0;85.0;338.0;147.0;206.0;530.0;394.0;208.0;148.0;2.0
" ";"Nha Trang";23.0;3.0;40.0;27.0;157.0;49.0;17.0;51.0;168.0;483.0;543.0;4.0
" ";"Vũng Tàu";2.0;..;8.0;27.0;302.0;314.0;210.0;297.0;173.0;117.0;70.0;2.0
" ";"Cà Mau";38.0;..;39.0;86.0;174.0;322.0;421.0;371.0;307.0;508.0;339.0;1.0
"2006"
" ";"Lai Châu";..;33.0;25.0;123.0;243.0;402.0;378.0;291.0;163.0;42.0;25.0;2.0
" ";"Sơn La";..;36.0;37.0;87.0;152.0;223.0;262.0;305.0;58.0;39.0;12.0;1.0
" ";"Tuyên Quang";1.0;15.0;14.0;65.0;263.0;115.0;459.0;455.0;94.0;58.0;50.0;7.0
" ";"Hà Nội";..;25.0;31.0;18.0;140.0;97.0;247.0;354.0;183.0;28.0;116.0;1.0
" ";"Bãi Cháy";2.0;10.0;48.0;43.0;49.0;198.0;464.0;666.0;80.0;50.0;86.0;1.0
" ";"Nam Định";2.0;34.0;28.0;24.0;220.0;124.0;186.0;327.0;102.0;60.0;1.0;6.0
" ";"Vinh";27.0;53.0;51.0;44.0;100.0;57.0;171.0;547.0;254.0;518.0;58.0;71.0
" ";"Huế";179.0;88.0;19.0;52.0;61.0;13.0;54.0;476.0;510.0;406.0;239.0;382.0
" ";"Đà Nẵng";98.0;34.0;2.0;9.0;69.0;2.0;127.0;346.0;394.0;619.0;279.0;254.0
" ";"Qui Nhơn";55.0;35.0;166.0;42.0;106.0;30.0;70.0;46.0;219.0;191.0;138.0;193.0
" ";"Pleiku";..;..;46.0;65.0;152.0;202.0;649.0;526.0;330.0;202.0;2.0;4.0
" ";"Đà Lạt";26.0;16.0;102.0;89.0;176.0;166.0;165.0;281.0;349.0;309.0;19.0;..
" ";"Nha Trang";9.0;38.0;168.0;4.0;24.0;5.0;7.0;68.0;158.0;179.0;61.0;98.0
" ";"Vũng Tàu";..;..;22.0;72.0;202.0;249.0;219.0;190.0;169.0;252.0;19.0;120.0
" ";"Cà Mau";69.0;..;..;116.0;231.0;324.0;475.0;450.0;374.0;241.0;80.0;27.0
"2005"
" ";"Lai Châu";26.0;33.0;80.0;120.0;73.0;513.0;322.0;334.0;30.0;38.0;21.0;46.0
" ";"Sơn La";10.0;9.0;75.0;64.0;65.0;150.0;267.0;403.0;147.0;58.0;21.0;20.0
" ";"Tuyên Quang";20.0;18.0;82.0;121.0;110.0;280.0;167.0;340.0;172.0;11.0;44.0;39.0
" ";"Hà Nội";11.0;36.0;27.0;33.0;221.0;278.0;278.0;377.0;366.0;18.0;92.0;27.0
" ";"Bãi Cháy";4.0;25.0;29.0;27.0;247.0;340.0;628.0;364.0;167.0;92.0;87.0;6.0
" ";"Nam Định";14.0;23.0;27.0;38.0;73.0;67.0;241.0;324.0;496.0;63.0;210.0;18.0
" ";"Vinh";13.0;25.0;40.0;20.0;119.0;50.0;228.0;424.0;647.0;258.0;106.0;39.0
" ";"Huế";28.0;51.0;65.0;61.0;42.0;113.0;129.0;189.0;350.0;...;485.0;502.0
" ";"Đà Nẵng";36.0;6.0;36.0;12.0;20.0;22.0;136.0;210.0;236.0;510.0;432.0;214.0
" ";"Qui Nhơn";3.0;12.0;136.0;20.0;49.0;27.0;13.0;20.0;362.0;914.0;488.0;592.0
" ";"Pleiku";..;0.0;42.0;139.0;46.0;182.0;479.0;610.0;314.0;187.0;45.0;4.0
" ";"Đà Lạt";..;19.0;82.0;116.0;172.0;182.0;200.0;259.0;354.0;263.0;92.0;80.0
" ";"Nha Trang";6.0;0.0;38.0;3.0;0.0;32.0;42.0;11.0;258.0;487.0;355.0;567.0
" ";"Vũng Tàu";..;..;..;35.0;119.0;147.0;170.0;155.0;189.0;71.0;7.0;39.0
" ";"Cà Mau";..;..;7.0;5.0;213.0;227.0;400.0;166.0;380.0;497.0;207.0;161.0
"2004"
" ";"Lai Châu";47.0;11.0;56.0;173.0;333.0;219.0;393.0;499.0;100.0;42.0;74.0;..
" ";"Sơn La";12.0;7.0;48.0;279.0;187.0;153.0;209.0;295.0;142.0;..;47.0;..
" ";"Tuyên Quang";24.0;11.0;41.0;245.0;263.0;145.0;332.0;160.0;48.0;9.0;42.0;3.0
" ";"Hà Nội";6.0;29.0;45.0;161.0;335.0;229.0;366.0;247.0;107.0;8.0;24.0;28.0
" ";"Bãi Cháy";27.0;30.0;20.0;72.0;243.0;92.0;516.0;332.0;223.0;1.0;8.0;14.0
" ";"Nam Định";12.0;43.0;29.0;71.0;188.0;193.0;312.0;197.0;272.0;35.0;25.0;17.0
" ";"Vinh";63.0;55.0;28.0;121.0;187.0;212.0;111.0;181.0;300.0;171.0;148.0;34.0
" ";"Huế";99.0;22.0;13.0;21.0;61.0;239.0;171.0;120.0;319.0;578.0;1527.0;79.0
" ";"Đà Nẵng";88.0;7.0;10.0;13.0;44.0;136.0;241.0;69.0;129.0;266.0;258.0;94.0
" ";"Qui Nhơn";53.0;2.0;3.0;1.0;75.0;325.0;25.0;72.0;283.0;235.0;230.0;63.0
" ";"Pleiku";..;..;40.0;52.0;248.0;694.0;290.0;349.0;208.0;6.0;8.0;2.0
" ";"Đà Lạt";2.0;9.0;147.0;226.0;168.0;348.0;331.0;254.0;120.0;42.0;5.0;2.0
" ";"Nha Trang";19.0;2.0;3.0;8.0;164.0;117.0;58.0;49.0;116.0;141.0;82.0;48.0
" ";"Vũng Tàu";..;..;..;..;222.0;92.0;73.0;258.0;254.0;352.0;2.0;18.0
" ";"Cà Mau";3.0;..;..;138.0;204.0;268.0;305.0;397.0;247.0;207.0;147.0;16.0
"2003"
" ";"Lai Châu";96.0;34.0;104.0;198.0;174.0;476.0;410.0;399.0;154.0;44.0;3.0;4.0
" ";"Sơn La";16.0;51.0;29.0;182.0;152.0;140.0;284.0;162.0;50.0;14.0;2.0;1.0
" ";"Tuyên Quang";40.0;91.0;14.0;71.0;358.0;298.0;242.0;323.0;150.0;27.0;19.0;4.0
" ";"Hà Nội";41.0;37.0;13.0;61.0;282.0;274.0;243.0;375.0;251.0;13.0;4.0;6.0
" ";"Bãi Cháy";49.0;17.0;16.0;87.0;331.0;413.0;187.0;292.0;439.0;7.0;4.0;..
" ";"Nam Định";39.0;19.0;26.0;26.0;180.0;102.0;169.0;309.0;497.0;36.0;2.0;3.0
" ";"Vinh";24.0;20.0;39.0;29.0;281.0;50.0;119.0;114.0;604.0;221.0;57.0;52.0
" ";"Huế";68.0;110.0;26.0;70.0;9.0;118.0;25.0;18.0;537.0;767.0;350.0;350.0
" ";"Đà Nẵng";22.0;20.0;38.0;18.0;110.0;96.0;13.0;86.0;478.0;412.0;295.0;160.0
" ";"Qui Nhơn";19.0;12.0;8.0;1.0;130.0;179.0;35.0;119.0;114.0;907.0;313.0;114.0
" ";"Pleiku";..;38.0;4.0;92.0;317.0;204.0;317.0;435.0;454.0;178.0;62.0;..
" ";"Đà Lạt";..;5.0;6.0;55.0;264.0;102.0;259.0;216.0;272.0;273.0;156.0;6.0
" ";"Nha Trang";7.0;8.0;5.0;4.0;239.0;23.0;52.0;25.0;93.0;533.0;318.0;145.0
" ";"Vũng Tàu";1.0;..;..;2.0;237.0;61.0;209.0;202.0;168.0;253.0;9.0;4.0
" ";"Cà Mau";3.0;..;..;39.0;210.0;296.0;520.0;355.0;394.0;445.0;206.0;20.0
"2002"
" ";"Lai Châu";73.0;53.0;78.0;114.0;341.0;485.0;766.0;713.0;164.0;198.0;62.0;87.0
" ";"Sơn La";61.0;22.0;55.0;65.0;328.0;277.0;261.0;241.0;36.0;94.0;52.0;71.0
" ";"Tuyên Quang";31.0;25.0;61.0;61.0;241.0;353.0;396.0;171.0;140.0;143.0;29.0;54.0
" ";"Hà Nội";9.0;24.0;11.0;59.0;214.0;240.0;262.0;202.0;179.0;128.0;51.0;60.0
" ";"Bãi Cháy";5.0;21.0;12.0;17.0;413.0;368.0;319.0;149.0;105.0;84.0;47.0;42.0
" ";"Nam Định";4.0;8.0;19.0;46.0;366.0;131.0;136.0;178.0;61.0;195.0;58.0;72.0
" ";"Vinh";24.0;32.0;84.0;46.0;263.0;35.0;122.0;188.0;255.0;433.0;128.0;133.0
" ";"Huế";73.0;31.0;22.0;56.0;242.0;89.0;21.0;323.0;487.0;1030.0;492.0;272.0
" ";"Đà Nẵng";33.0;64.0;4.0;113.0;39.0;104.0;30.0;376.0;692.0;527.0;470.0;212.0
